N0;Komentar;
242;"klu mau apapun lebih mudah dan gampang... tapi yg harga 1juta ke atas saya aga ragu untuk pesen nya terlalu ke takutan gak datang barang,, dan saya nukerin poin ko gak bisa terus,, jadi saya kasi bintang 3 dulu aja";
243;ini tokopedia kenapa sich udh 3 hari tiap di buka slalu aja keluar lagi ..selalu ada tulisan tokopedia tidak menanggapi..pdhl aplikasi udh di perbarui..tiap klik barang yang mau di beli selalu aja keluar dari aplikasi..;
244;"pelayana buruk bangeet untuk dana pengembalian lama,dan malah eror tidak bisa chat sama penjual bahkan tidak bisa check out lagi aplikasi apa""an ini????......!!!!!";
245;Kenapa saya tidak bisa melakukan proses pembayaran??? Sudah upgrade aplikasi ke versi terbaru tetap saja tidak bisa melakukan proses pembayaran;
246;"kenapa tokopedia. tidak pernah sedia kan pembayaran di tempat sedang kan aplikasi lazada,shoppe ada pembayaran di tempat jdi enak lebib mudah. dri pada transfer kan , barang trima langsung bayar kn sangat mudah bagi masyarakat yg mau belanja dengan metode pembayaran di tempat COD. ongkir dan ongkir nya pun terlalu mahal sekali contoh saja beli barang harga 35 rb ongkit nya 60 rb yg cepat sama aja kan boong hitungan nya beli batang termasuk mahal klo di jumlah kan.";
247;minta tolong untuk memblokir toko2 yang tidak bisa memberi pelayanan yang baik . apalagi toko palsu dan produknya palsu . karena sangat merugikan .;
248;"Ongkos kirim yang tertera di iklan toko, jauh berbeda (lebih mahal) dengan ongkos kirim di sistem pada saat akan melakukan pembayaran";
249;"sejauh ini siy Alhamdulillah aman. skrg kl belanja saya bayarnya secara tunai skrg saya tidak mau lagi pakai ovo belanja online macam begini mmg penuh resiko, tp sejauh toped berkomitmen memihak pada user/customer woleeees kalian tdk akan ditinggalkan";
250;Jeleknya tuh masalah pengiriman nggak jelas Ongkir Pake Same Day masa sampe nya 2 hari padahal itu pesen sebelum jam 14:00 terus buat apa saya bayar same day kalo misalkan sampe nya 2 hari ? sebagai customer boleh dong minta hak nya;
251;"ini servernya kenapa sih ?? kok saya pengen pake voucher selalu gak bisa, alesannya terjadi kesalahan pada server. tolong dong konfirmasi toped nya ini kenapa. saya mau belanja pake voucher kok gak bisa?";
252;terima kasih atas kepercayaanya...atas pinjaman dana instan yang di sediakan tokopedia somoga dana yang di pinjamkan bermanfaat untuk tambahan modal usaha saya dan sekali lagi saya berterima kasih kepada dana instan dan tokopedia semoga tambah sukses dan lancar aamiin...??;
253;"sepertinya ini penjualan pertama dan terahir juga langsung tutup akun... mengerikan dagang on line di sini barang sudah sampai, pembeli pun sudah konfirmasi tapi bermasalah resi tidak terlacak 7,5 jt pun tak jelas nasib nya... dan salah satu kelemahan di toko ini tidak ada CS yg merespon cuma robot yg menjawab itu2 juga";
254;sangat membantu skali kita nga usah kudu muterin toko u/ mencari- ri sesuatu yg kita perlukan.cukup dgn membuka apklasih tokopedia pst sesuatu yg kita butuhkan a da. trimak asih tokopedia;
255;"Tokopedia sekarang jadi payah, gak sebaik dulu. Perhitungan potensi cashbacknya juga gak tahu menggunakan RUMUS apa, mungkin rumus Asal kale ya. masa ada cashback yg didapatkan sama, padahal nominal promo cashbacknya berbeda beda, tetapi pas mencoba gonta ganti promo cashback, hasil atau potensi casback yg didapat sama dari semua promo tsb. dan kalau di hitung sendiri itu beda dengan hasil sesungguhnya. ya lumayanlah lebih kecil dari perhitungan sendiri. tapi kalau TOPED yg yg dulu selalu akurat.";
256;"Akhir2 ini terlalu nge LAG... loading transaksi lama, loading pembayaran juga agak lama... dibandingkan dengan toko sebelah.. sepertinya aplikasinya perlu di perbaiki kecepatan loadingnya ??";
257;"saya sudah melakukan pembelian dan pembayaran melaulu atm tapi dibatalkan otomatis oleh system pada tgl 5 , dan tgl 10 saya baru mengetahui bahwa transaksi di batalkan bagaimana mengembalikan uang saya yang sudah sy transpert ke tokopedia? mohon jelaskan";
258;"aku belaja beberapa kali dari sebulan ini di tokopedia,bagus dan lancar.hadiahnya juga oke,aku belum dapat karna baru bergabung. percayalah tokopedia sarana belanja lengkap dan tepat waktu nyampainya";
259;"menurut saya sebagi pelanggan, aturan 1% toko power merchant itu mempengaruhi pembelian. di karenakan pedagang menaikan harga jualnya. saya akan jadi pembeli kembali setelah peraturan 1% power merchant di hapus.";
260;"saya enggan menggunakan aplikasi ini karena pernah tertipu dan banyak org lain juga sama dan beralih ke aplikasi lain karena di tokopedia org yg melakukan penipuan hanya di ban tokonya doang, dan org yg menipu tdi tidak di proses dan bebas membuka toko lain";
261;"Kalau bisa fitur searchnya kerja sama dengan google, sering barang yang disearch di aplikasi tidak ditemukan tapi setelah di search di google ketemu. Padahal barang di tokopedia juga.";
262;"saya mau tanya kenepa sih waktu saya cari barang terus kan barang nya udah ketemu pas saya pencet terdapat tulisan ""sayang nya tokopedia telah berhenti"" tpi dari aplikasi tokopedia masih bisa cari barang kan aneh.semua barang saya pencet sama aja nggak bisa:( ini kenepa ya tolong jawab dong:)";
263;"minta tolong diperbaiki lagi dalam hal pencarian nama barang, yg di cari A, yg muncul B. bingung saya.. berapa hari lalu sya cari jenis"" senapan angin *muncul.. keesokan harinya saya cari lagi *eh tidak ada, malah muncul barang"" lain.. tolong diperbaiki!!";
264;"Setelah pembaruan saya jadi tidak bisa top up mtix. Dan pasti selalu muncul keterangan di bawahnya ""Produk belum didukung, silahkan memilih produk lainnya"". Mohon penjelasannya";
265;"aplikasi yg sekarang sering gangguan, saya sudah kirim barang mau masukan resi gangguan terus gak bisa di buka, akhirnya batal secara otomatis ada 3 transaksi . mengecewakan";
266;"Sejauh ini aplikasi tokopedia sangat membantu saya sbg reseller. Saya alhamdulilah sudah mendapatkan laba sekitar 1 juta stlh menjadi reseller selama 3 tahun, dg catatan saya sbg pelajar. Namun yg saya keluhkan sebagai reseller itu, kenapa saldo toped yg saldo penghasilan tdk bisa digunakan utk bertransaksi kembali? Kalau pun bisa diambil lewat transfer, tmbahin opsi TRANSFER to OVO ya minnn. Nanti klo udah ada fitur itu saya akan kasih bintang 10 buat toped ???";
267;"Mohon untuk di percepat waktu menunggu konfirmasi, pesanan di proses dan pesanan di kirim. Sepertinya toko memperlambat proses karena jeda waktunya terlalu panjang bisa sampai 2 s/d 3 hari untuk konfirmasi dan proses.";
268;sudah nunggu lama ternyata pulsa yg saya beli via tokopedia di hari minggu tak kunjung masuk saya pikir awalnya sudah masuk sbb ada notif dr ovo bahwa transaksi berhasil namun trnyata di tokopedia masih pending sungguh kecewa berat;
269;"masa akun berbeda.. hape berbeda.. org yg berbeda dan semuax jelas2 punya sendiri. hny karena satu rmh dan transaksi dipakai utk keperluan usaha, dibilang akun sama dan menyalahi aturan. tolong perbaiki. dan cek jika perlu ke sumber x. spya jelas";
270;"biasanya cek saldo & top up saldo e-money bisa pake hp ( karna ada NFC), sudah 3 minggu ini ga bisa lg utk cek saldo di hp, apalagi top up. Mohon pencerahannya ya, karna sangat praktis sekali, ahirnya terpaksa lewat manual lg deh....ke atm mandiri";
271;"mohon kalau dipesan tiket pesawat jangan hanya e-tiketnya saja dikirim dalam bentuk pdf tetapi e-pembayarannya juga dikirim di e-mail dgn bentuk yang sama. 2 itu tidak bisa dipisahkan. karena dua bentuk tersebut sangat berguna sebagai bukti bagi yang bekerja di instansi pemerintahan dan swasta . Hal itu lebih ditingkatkan. kalau sudah diubah saya tambah bintangnya. saya buka di aplikasi dan dekstop invoicenya tetap tidak bisa didownload hal ini membuat saya sangat kecewa, mohon lebih profesional";
272;belum ada pengalaman yg menarik dari tokopedia katanya daoat kupon bonus eh..malah setelah meng instal aplikasinya ..ga tahu hrs gmna langkah selanjutnya..mending di hapus lagi;
273;"makasih Tokopedia sudah melayani dengan b aik ??, dengan aplikasi ini memudahkan kami yg sibuk dengan rutinitas sehari hari yg tdk punya waktu untuk shoping di mall, thanks Tokopedia";
274;"Memudahkan untuk berbelanja, tapi akhir2 ini ada masalah di pembayaran. saya tidak bisa melakukan transaksi pembayaran";
275;"Sebaiknya jika transaksi ingin sehari sampai (dalam kota) cari seller yg menyediakan jasa kurir gojek/grab sameday atau instant. selain jasa itu dipastikan pengiriman bisa lama karena banyak seller tipu tipu alamat, misal alamat Jakarta dikirim ternyata dari luar provinsi!! Ini seller miskin dan tipu tipu!! Toped mesti menyediakan cara bagaimana supaya buyer bisa blocking seller seperti itu!";
276;Sejauh ini belum pernah ada masalah. Transaksi lancar. Barang yg dibeli sesuai deskripsi. Bagus. Pertahankan;
277;Semoga aplikasi ini menjadi aplikasi penjualan online yang akan selalu saya gunakan untuk keperluan saya setiap saat dan tidak beralih ke yang lainnya;
278;"tolong tokopedia ditambahkan lagi fitur COD agar yang tidak punya rekening bang ataupun ovo cash, tetap bisa berbelanja sebagaimana mestinya, nanti saya akan tambahkan lagi bintangnya terimakasih.";
279;"dari hari jumat smp hari ini saya mau transaksi ga bisa klik pembayaran, pdhl saya uda install ulang tp tetep ga bs klik bayar.. saya pikir hp rusak or error tp belanja disebelah ok2 aja";
280;apakah tiap sabtu tokopedi mengadakan undian.hp.? saya selalu dapat pemberitahun .akun sy dpt undian hp dr tokopedia. tp pas dibuka masuk aplikasi donk gk da petunjuk apa pun;
281;"wooww aplikasi ini bner² ngebantu aku buat pesen jam tangan yang belom ad didaerah aku,, so aku sukaa banget sama Tokepedia,, jadi buat kalian yang mau belanja online dengan pengantaran tercepat,ayo buruan deh download Tokopedia and langsung aja pilih barang yang mau kmu beli, Thankyou Tokopedi";
282;Knp pihak toped tdk menyediakan CS by phone atau live chat di aplikasi nya? krn pusat bantuan tdk sllu sesuai dg kondisi setiap pelanggan. spt yg sy alami kmrn komplain pembelian krn jaringan internet tdk stabil sy bisa membaca pesan dr pusat bantuan tp sy tidak bisa membalas pesannya sehingga akhirnya komplainan sy tdk tertangani krn spt saat ini ketika ada kendala tdk bs menghapus brg di keranjang & jg tdk bisa chekout. sllu muncul tulisan maaf sdg gangguan tp sampai berhari2 msh ga bisa jg.;
283;"Seharusnya 'Konfirmasi Barang Sdh Diterima' muncul setelah orderan diterima sampai tangan Pembeli, bukan muncul lebih awal padahal Pembeli belum diterima (barang masih di Jasa kurir). Terima kasih atas perhatiannya. smoga semakin baik.";
284;Saya mau nanya toped apa pake rekber ngga sih? Jadi klo misal barang udah sampai baru di konfirmasi pembeli dan si penjual baru bisa narik dana setelah ada konfirmasi dr pembeli.;
285;"Jelek. saya pesan barang jangka waktu sehari pengirimannya, malah sampe berhari hari. udah nunggu lama pengiriman ditolak lagi. akhirnya duit saya angus. tolong ditingkatkan lagi ya";
286;"hati hati disini...banyak penipuan....jangan pernah beli di toko LARIS 5,,,,,,,barang yg dijual gak ada semua";
287;yg bener ajah ...verifikasi in no. hp susah bgt ga bisa bisa ....daftar lagi susah nya minta ampun auto UNINSTAL!;
288;"sekarang tokopedia banyak toko abal2, harga murah tidak sesuai pasaran, tolong di telusuri, banded aja, banyak toko penipu";
289;"tolong ya kalau ada barang yang stok nya tidak ada tolong di beri tanda, saya tadi tanya sama penjual warna hitam kata kosong, trus di deskripsi ada dua warna saya tanya warna yang satunya stoknya tapi belum dijawab dan setelah saya mendapat kode pembayaran dia merespon kalau warna ke dua kosong, berarti barang yang ditawarkan kosong tolong diperbaiki sistem nya";
290;"Pembayaran BPJS selalu gagal. Jika kita bayar menggunakan kode referral teman, pembayaran yang tersedia hanya BCA dan kartu kredit. Saya juga kurang suka ketika memilih kurir karena harus memilih waktu pengiriman terlebih dahulu baru jasa kurirnya. Saya lebih suka memilih jasa kurirnya langsung.";
291;"Saya memesan barang ditokopedia tapi pada saat saya masuk ke pilih pembayaran, untuk mengklik pilihan metode pembayarannya tidak bisa, saya klik ovo gak bisa, saya klik transfer bank juga gak bisa bisa.. mohon bantuannya karena tokopedia adalah favorite saya. terima kasih";
292;"setelah upgrade toko pedia malah tutup sendiri ketika ingin buka informasi barang... gmn kita mau beli, ngecek barang tidak bisa...lama2 kesel juga dgn toko pedia";
293;"aplikasinya gak mau dibuka. keadaan jaringan internet saya sangat baik2 saja. tapi saat membuka aplikasi, tertulis ""terjadi kesalahan koneksi, silahkan coba lagi"". saya sudah instal tokopedia sejak lama, namun baru kali ini aplikasi ini tidak mau dibuka seperti ini. sudah saya update aplikasi dengan versi yang paling baru. apakah ada kerusakan pada aplikasi yang baru ini? tolong segera dibalas. terima kasih";
294;"mohon perbaiki notifikasi, jarang muncul di layar handphone meski sudah di prioritaskan. sebagai penjual saya sangat di rugikan karna notifikasi chat jarang muncul.";
295;Saya sangat senang.... Ini adalah pembelian online pertama dari saya dan saya merasa puas atas hasilnya... Awalnya saya ragu untuk pesan online tapi saya mencoba dan hasilnya sesuai yang diharapkan.... Pesan dari saya: Untuk mendapatkan hasil yang maksimal saya merekomendasi untuk memesan barang di toko resmi seperti Official Stor;
296;"Terimakasih Tokopedia,sy sangat merekomendasikan aplikasi ini keteman atau saudara karena produk yg ditawarkan sgt pariatif dan terjangkau,kualitasnya jg mumpuni sesuai dgn harga yg ditawarkan";
297;"sekarang tokopedia kalau pake power merchand potongannya kebesaran jadi kalau jumlah transaksinya banyak semakin besar juga potongannya, saya rasa itu lumayan merugikan buat seller. lebih baik di ganti ke power merchand bulanan daripada yang free";
298;"Saya sudah berkali2 pakai Tokopedia, tapi knp yg trakhir ini pembayaran harus pakai Ovopay later? Saldo Ovo saya banyak. Saya ndak mau pakai ovo paylater. Tapi waktu klik pembayaran, yg kluar otomatis Ovo Paylater. Tdk bisa diganti. Pembayaran Via Transfer juga tdk ada pilihan";
299;"setelah di perbaharui aplikasi tokopedia kok akunku malah hilang,,bikin kecewa,,padahal aku sudah jadi member tokopedia lam,,tolong di tingkatkan lagi min..";
300;tokopedia pelayan kurang bagus memaksa kita untuk download app nya dengan cara menjajikan hadiah padahal tdk ada hadiah klo di close sllu muncul di gadget kita mohon kpda pihat tokopedia jgn memaksa untuk download app nya;
301;"Kurir gagal antar pesanan tp performa seller yg dikurangi dgn sadis, padahal sudah rugi ongkir.... Produk sy mesin absensi dihapus krn dianggap senjata illegal & diberi peringatan. Setelah diprotes baru dikembalikan tp keesoknya performa dikurangi 25 %, ini otoriter dan tdk adil.";
302;"saya ingin menggunakan kode promo tp tidak bisa, dan ada keterangan bahwa aplikasi tokopedia mesti update versi terbaru, sedangkan saya sudah update versi terbaru, bahkan sampai install ulang. tolong dijelaskan dan dipermudah";
303;"tolong bos, saya pngguna tokopedia. tapi jngan juga lah masuk2 iklan2 pas gw lgi main2 di UC. ganggu ajah. masa di suruh instal lah apalah, menang hadiah lah.";
304;"top, beberapakali belanja di tokopedia tidak mengecewakan, tips jgn terlalu percaya dgn gambar bagus krn sebagian byk tdk sesuai, tp liat dan baca ulasan dari pembeli, kalo byk ulasan positif berarti kualitas produk dan penjual ??????, makasih tokopedia jaya terus bagi pengguna yg kompeten";
305;Cek lah itu mau daftar akun aja gak bisa.. Ganti nmr juga gak bisa.. Padahal pelanggan lama ini.. Gara gara sim rusak.. Perbaiki bug bos;
306;"Ongkos kirim yang tertera di iklan toko, jauh berbeda (lebih mahal) dengan ongkos kirim di sistem pada saat akan melakukan pembayaran";
307;" overall untk systemnya udh bagus.. tapi sdh 2x kecewa sma kurir si cepat tokped..sdh 2x pesanan yang sdh di kirim oleh kurir dan sya tunggu2,tapi krna pesanan ga dtang2 sya cek sttus pengriminannya dan sllu trjadi paket anda di kembalikan. Dan ujung2nya hrs nunggu 2 hri lagi buat paketnya ke terima. Tolong lah hal hal sprti itu jngan smpe mmbuat sya/yg lain jdi males belanja di tokped..thanks";
308;"kita coba...bagus... bintang full (update)ok...keluhan sudah dikirim,respon pihak tokopedia cepat,jadi bintang sata kasih full,yah walau kendalanya sedikit aneh";
309;"kemarin saya melakukan pembelian tiket pesawat pulang pergi dari bandung ke pekanbaru, biarpun saya sudah mengirim uang pembayaran, pembelian tiket tersebut gagal dan uang yang saya kirim tidak dikembalikan, lalu saat saya cek di daftar transaksi tiket pesawat yang gagal, transaksi tersebut tidak ada, dan setelah saya melaporkan ke cs sampai sekarang masih belum ada balasan";
310;Banyak membantu untuk mencari produk murah tetapi berkualitas. Pandai2nya pengguna dalam memilih barang dan Seller.;
311;"puas, tpi belum mendalami semua di dlmnya, sy baru cba pembelian di sini, krna yg sebelah sudah mulai mahal ongkirnya dan udah mulai kurang promonya, mau sy marketplace ttp setabil, jngn cuma memikat di awal klo bisa lebih memikat lagi, biar belanja online tetap mengudara dn lbih tinggi tebangnya";
312;"gambar produk blank semua. terutama di jaringan indihome 20mbps, padahal u aplikasi jual beli lain lancar gambar dan bahkan vidio produk lancar jaya. mohon penjelasan dan penyelesaiannya. thx";
313;"sekarang sub kategori tingkat 3 nggak bisa di klik sepeti sub kategori Peripheral & Aksesoris (Mouse, Keyboard, Cooling Pad, dll";
314;"pembayaran MNC vision sudah dipotong dari saldo kartu kredit saya, tapi sampai sekarang tokopedia belum verifikasi. akhirnya Layanan Tv kabel dinonaktifkan sama pihak MNC. saya sudah berkali kali komplain ke tokopedia. tapi ditanggapi CS nya. ""maaf transaksi belum berhasil"", saya tau belum berhasil diverifikasi. makannya saya komplain. kenapa uda berhasil di pembayaran kartu kredit. tapi belum diverifikasi. kesel makin ga jelas nih. sampai 4 hari menunggu belum ada kejelasan. sampai kapan ya?";
315;"Saya mempumyai keluh kesah yang sama dengan orang-orang lain... Saya melakukan transaksi penjualan,, dan uang saya masuk ke dalam Saldo saya ingin menikmati uang tersebut degan berbelanja kembali tapi itu tidak bisa dilakukan didalam aplikasi ini lalu saya ingin menarik saldo saya tetapi saya tidak punya account bank.. Permintaan saya adalah PERBAIKI LAYANAN AGAR SALDO DAPAT DIGUNAKAN UNTUK BERBELANJA KEMBALI TANPA MENARIK MENGGUNAKAN account bank TERLEBIH DAHULU!";
316;"saya download aplikasi ini karna tau2 saya ikut undian dan setelah saya dpt otomatis suruh download ,stlah downlod gak dpt apa2 , ini aplikasi ngerjain bgt, klo mau promo yg kreatip dikit napa?";
317;"Luar biasa, situs online paling praktis, canggih, sama sekali tidak ribet. Mudah dan cepat akses serta pengoperasiannya. Saya sangat merekomendasikan Tokopedia untuk Anda. Pokoknya mantap deh! USUL: kalau bisa sistem pembayaran dengan Oneklik BCA juga disediakan oleh Tokopedia. Terima kasih.";
318;"kok lama konfirmasi dari tokonya, sampek 1hari, jadi barang bisa di kirim apa enggaknya gak tau.tolong pastikan konfirmasinya lebih cepat.";
319;"Apk yang sangat bgs,brng ya saya terimapun bagus sesuai dengan pesanan.Toko pedia adalah salah satu apk yang bagus diantara apk yg lain,karna apk tokopedia selalu memberikan barang.Yang amat sangat Bagus sesuai dengan potonya";
320;"Solusi kemudahan berbagai sistem pembayaran, bahkan untuk menikmati pesona indahnya dunia hiburan. Tak perlu buang waktu untuk antrian, berdesakkan dan kelelahan. Tinggal mainkan jari anda, semua permasalahan teratasi tanpa kendala. Sungguh aplikasi yang begitu memberi arti untuk kehidupan masa kini.";
321;"Overall Bagus. Tapi saran saya mohon ditingkatkan lagi untuk sistem pengiriman instant/same day. Bila pembeli memilih pengiriman same day, seharusnya waktu konfirmasi dan pengiriman oleh penjual jg HARUS di hari yg sama. Bila penjual baru konfirmasi dan dikirim keesokan harinya sama saja dengan merugikan pembeli. Apalagi mengingat jasa pengiriman instant / same day itu lebih mahal daripada jasa pengiriman lainnya.";
322;"saya bertahan dan terus bertahan menggunakan tokopedia. semakin banyak transaksi semakin member saya naik, semakin banyak masalah yg saya alami. mulai dr tidak mendapatkan cashback, loyalti/point, hingga ovopaylater saya. hal yg membuat saya kecewa adalah alasan yg selalu sama ketika saya mengalami kendala, akun saya manipulasi lah, tidak mengikuti syarat dan ketentuan lah, saya menggunakan lebih dr 1 akun lah.. sedangkan saya hanya menggunakan 1 akun. kecewa.";
323;sangat recommended apps unt jual beli online. Total sy bisa dapat Cashback lebih dr 500K dlm waktu kurang lebih 1 bulan. apps sejenis yg lain sy abaikan dl krn jarang promo. kalah ama tokped;
324;"saya sudah melakukan pembelian dan pembayaran melaulu atm tapi dibatalkan otomatis oleh system pada tgl 5 , dan tgl 10 saya baru mengetahui bahwa transaksi di batalkan bagaimana mengembalikan uang saya yang sudah sy transpert ke tokopedia? mohon jelaskan";
325;"untuk penjualan Reksadana , tolong diperbaiki lagi. karena koneksi saya masih bagus , tapi aplikasi selalu eror. ketika sudah melakukan verifikasi nomor. mohon segera ditangani, biar ga merugikan pemakai aplikasi ini";
326;"Beda metode pembyaran menggunakan Hp dan Pc, promony juga. cnth: pembyrn di Hp tdk ada bank Mandiri, tpi klw buka di PC semua bank ada...";
327;"good, mohon ditingkatkan terutama reward nya jgn pake minimal transaksi hehe jdi sia-sia gak terpakai itu si saya sendri gatau klo org lain yak . klo ga ada minimal transaksi pasti lebih banyak yg pake app tokped sbg transaksi olshop terbaik . thankyoo";
328;"parah bgt sih, e commerce paling belibet buat ngurus refund. hari ini dibilang kalau penjual ga kirim alamat sampe bsk jam 13.00, bakal langsung di refund. besoknya kudu di chat lagi, baru cs nya ngerespon dan ganti info lagi, ngasih batas maksimal beosknya lagi.";
329;"aplikasinya sih bagus.... tp yg saya tidak suka, aplikasi ini memaksa usernya utk update. kalau tidak maka aplikasi ini tidak bisa digunakan.. tolong ini diperbaiki, agar pengguna tetap dapat memanfaatkan app ini tanpa harus uodate sekalipun. mengingat memori ponsel para user tidak semua sama dalam jumlah yg besar yg dapat menampung banyak memori!";
330;Aplikasi buruk dan seller nya kurang memuaskan barang saya yang telah saya beli belum sampe sampe sudah 2 minggu belum ada kabar duit kagak ada kembali seller malah main beres aja lagi pokoknya tidak recomended;
331;"ga guna, org lg nonton muncul iklan harus download apk nya.. pas udh di download ttp muncul.. GANGGU";
332;"toped tidak menyediakan dengan jelas kurir yang akan digunakan untuk pengiriman seperti dulu, pilihan pengiriman yang digunakan dalam aplikasi hanya durasi, tapi tidak menyediakan jasa kurir yg jelas, contohnya JNE atau JNT, sehingga sangat menyulitkan, karena kita sdh terbiasa dengan jasa pengiriman yg sdh terbukti kualitasnya, kalau masih seperti ini, mungkin beralih ganti aplikasi yg lebih baik";
333;"jarang banget pakek toped, dan coba sekali sekali buat tau bagus atau engga kayak toko sebelah , dan bener aja aku order malah di cencel . sepihk tanpa ada pemberitahuan, tolong kalo ada yg kek gini di beri peringatan sudah aku laporin di aplikasi ny langsung";
334;"tiap buka aplikasi kesalahan koneksi melulu..padahal buat buka aplikasi sebelah baik2 aja...koneksi 4g udah lemot,gimana yg masih 3g?";
335;"Sangat disayangkan tokopedia kurang inovasi baru, berbagai toko online sudah mempunyai feature pengiriman gratis dengan syarat minimal pembelanjaan, tapi tokopedia masih dengan feature lamanya. sekarang banyak orang hanya menggunakan tokopedia sebagai optional terakhir dalam belanja online. percaya atau tidak, lambat laun banyak orang akan mencopot aplikasi ini bila tidak ada inovasi baru";
336;kuponnya kok gak bisa dipakai ya? selalu ada pemberitahuan ada kesalahan server... padahal semua syaratnya sudah cocok..;
337;"sangat kecewa saya hampir aja kena tipu sama salah satu penjual di Merchant tokopedia. tolong dong tindak lanjuti penjual dengan nama toko ""Indah Tirta"" dia hampir saja mau menipu saya...dengan Modus ingin memberikan cashback 10% tapi minta kode verifikasi tokopedia saya... dan akhirnya akun saya di retas oleh si penjual, untungnya saya langsung sadar kalo saya mau ditipu... jadi saya langsung membatalkan barang yang saya beli di toko dia";
338;tidak bertanggung jawab dan kurang respon terhadap pelanggan yang merasa ditipu oleh penjual produk. ini terjadi pada suami saya yang beli barang dan waktu pengiriman barang sesuai ongkos tertera satu hari ternyata 5 hari baru tiba... isi barang tdk sesuai dengan yang tertera di label paket hanya di straples aja bungkus paketnya... ini tokopedia tdk respon akan keluhan pelanggan;
339;"yth.admin tokopedia bagaimana pengembalian dana saya,komplain saya di tutup oleh admin tokopedia,kata nya dana akan di kembalikan tiga hari kerja,ini udah seminggu dana belum di kembalikantlg di selesaikan,kl dah selesai bintang nya saya kasih 5 lagi.";
340;"1.pakai kupon free !, terlalu banyak syarat, nominal nilai potongan terbesar = belanja kelipatan sangat besar. 2.search toko/barang harus sesuai penggunaan huruf (besar- kecil), angka, tanda baca.tidak akan muncul jika tidak sesuai besar - kecil huruf, angka, tanda baca. ( tidak auto relevan ) sering mengulang"" barang yang sudah ditemukan sebelum dan sesudah di scrool, barang tidak terkait dengan pencarian sering terlihat saat scrool. 3.kesan melindungi reseller dari kata pencarian.";
341;nge download cuma pengen ngasih bintang 1 doang... ngiklan nya ngeganggu lagi asik2 streaming ato baca manga malah pindah kesini... mudah2an apk ini di hapus dari playstrore...;
342;"tokopedia ane mau ngasih saran nih,klo bisa invest reksadana bisa pilih mata uang dollar,karena bisa lebih untung,contoh aj kita pertahun cuman 5% untungnya saat invest,sedangkan dollar pertahun 7% naiknya jadi ketika kita ambil di hari tua ga ada untung,sekilas dari jumlah saldo memang bertambah tpi klo di gunakan untuk kebutuhan akan sama saja karena harga barang juga ikut naik mengikuti dollar,itu aja saran saya";
343;"Setiap kali transaksi di topet, sekalipun barang nggak pernah datang tepat waktu, itu ttp coba saya maklumin. Tapi yang terakhir ini. Saya minta pengiriman satu hari, barang baru datang seminggu, kan anjing... CS responnya lama nggak ikut membantu dan tanpa tanggungjawab, malah menyuruh saya menghubungi kurir. Dah uninstall pindah ke Shopee";
344;Ternyata pembayaran auto debet tidak mendapatkan cashback. Promo juga banyak yang berkurang. Waktu nya pindah ke aplikasi lain nya;
345;"saya sdh mendengar banyak dari teman d saudara saudara sy tentang kelebihan belanja on line di tokopedia,karena barang yang di kirim sesuai dengan keinginan pembeli dan ukuranpun sama sesuai pesanan tapi sy baru instal aplikasi ini sehingga saya belum memiliki pengalaman belanja di tokopedia mudah mudahan aplikasi ini bisa bermanfaat bagi saya,terima kasih";
346;"tolong konfirmasi kesalahan pengiriman secepatnya,ini saya beli barang sampe sekarang belum ada padahal udah mesen dari sebelum jam 4sore dan saya pilih grab instan,tapi email yg masuk malah barang sudah diterima,tolong sebelum bilang barang sudah diterima dicek dulu itu barang diterima siapa!!! jangan jadi akun penipu,ini sudah termasuk penipuan!!! segera ditindak lanjuti";
347;"keceewa dengan apl ini. malah klau ada bintang -1, pasti saya kasih -1. lagi eenak enakan buka browsing malah iklan. kalau cari orang ya ndak gitu juga. orang punya pendapat dan kesenangan sendiri, klau cari iklan model kalian kayak gitu ya sama aja dengan pemaksaan";
348;Topup ovo 200rb. Saldo di rekeninh sudah terpotong dan keterangan transaksi berhasil tapi tiba2 di app keterangan transaksi dibatalkan padahal selang waktu dari beli ke pembayaran hanya beberapa menit saja. Hubungin cs ga ada yg bisa. Kzl!!!;
349;"Berbelanja online.., jangan ragu. ikuti saja langkah2 yang menjadi panduan dari TOKOPEDIA... Ingat sob, transaksi harus melalui transaksi yang resmi dari Tokopedia. Jangan hiraukan chat via WA, dan abaikan jika ada yang meminta transaksi diluar dari Tokopedia. Langkah2 itu sangat praktis, tepat waktu dan aman. ??";
350;"(Aplikasi Ok buaangeetttttt,,,,) Tapi sayang nya saya cek Aplikasi online store sebelah lebih banyak murahnya.. _Di perbaiki lagi ya Gan_";
351;"Assalammualaikum,Nama saya Pandu. saya ada masalah di pembelian yaitu, pada saat saya belanja dan saya sudah membayar nya(tidak disebutkan harganya),dan saya memilih kurir TIKI selama 1 hari(24jam).tapi mau 2 hari belum sampai juga malah belum diperoses. mohon di benarkan itu.mohon dijawab ya min.Nama akun saya Pandu Pandu. ini masalah serius loh harus di jawab dan dibnrka";
352;nyes3l gue kasih bintang 5...bilangnya dapat kupon...disuruh instal...tapi php doang...kupon gratis tai kucinglah...gue turunin 1 bintang be...php doang...ulasannya iyach bagus s3mua...;
353;"Sangat membantu sekali untuk proses transaksi jual beli, praktis ditambah lagi dengan metode pembayaran dengat byk cara dan pilihan.";
